Site,Paper_ID,Demo_ID,Region
Coast Fork of Williamette,55,25,North
Canton Creek,57,24,North
Rock Creek,11,15,North
O'Neil Creek,9,16,North
Deep Creek,8,17,North
Little Jameson Creek,7,18,Center
Oregon Creek,6,29,Center
Rainbow Pool,29,35,Center
Carlon,28,1,Center
Buck Meadows,27,31,Center
Wawona,5,32,Center
Redwood Creek,4,8,Center
North Fork Middle Fork Tule,3,10,Center
South Fork Middle Fork Tule,58,3,Center
West Fork Mojave River,2,7,South
Whitewater Canyon,17,12,South
Sweetwater River,1,2,South
Kitchen Creek,15,14,South
Hauser Creek,14,13,South
